species,Kingdom,Group,SubGroup,Size (Mb),Chr,Organelles,Plasmids,Assemblies
Balaenoptera acutorostrata,Eukaryota,Animals,Mammals,2431.69,-,1,-,1
Bos indicus,Eukaryota,Animals,Mammals,2475.81,-,1,-,1
Bos mutus,Eukaryota,Animals,Mammals,2645.16,-,1,-,1
Bos taurus,Eukaryota,Animals,Mammals,2983.31,31,1,-,2
Bubalus bubalis,Eukaryota,Animals,Mammals,2836.17,-,1,-,2
Callithrix jacchus,Eukaryota,Animals,Mammals,2914.96,24,-,-,1
Camelus bactrianus,Eukaryota,Animals,Mammals,1568.77,-,1,-,1
Camelus ferus,Eukaryota,Animals,Mammals,2009.19,-,1,-,1
Canis lupus familiaris,Eukaryota,Animals,Mammals,2410.98,39,1,-,3
Capra hircus,Eukaryota,Animals,Mammals,2635.85,30,1,-,1
Capreolus capreolus,Eukaryota,Animals,Mammals,2785.38,-,1,-,1
Cavia aperea,Eukaryota,Animals,Mammals,2716.4,-,-,-,1
Cavia porcellus,Eukaryota,Animals,Mammals,2723.22,-,1,-,1
Ceratotherium simum simum,Eukaryota,Animals,Mammals,2464.37,-,1,-,1
Chinchilla lanigera,Eukaryota,Animals,Mammals,2390.87,-,1,-,1
Chlorocebus sabaeus,Eukaryota,Animals,Mammals,2789.66,31,1,-,1
Choloepus hoffmanni,Eukaryota,Animals,Mammals,2458.93,-,-,-,1
Chrysochloris asiatica,Eukaryota,Animals,Mammals,4210.11,-,1,-,1
Condylura cristata,Eukaryota,Animals,Mammals,1769.66,-,-,-,1
Cricetulus griseus,Eukaryota,Animals,Mammals,2399.79,-,1,-,3
Dasypus novemcinctus,Eukaryota,Animals,Mammals,3631.52,-,1,-,1
Daubentonia madagascariensis,Eukaryota,Animals,Mammals,2855.37,-,1,-,1
Dipodomys ordii,Eukaryota,Animals,Mammals,2158.5,-,-,-,1
Echinops telfairi,Eukaryota,Animals,Mammals,2947.02,-,1,-,1
Eidolon helvum,Eukaryota,Animals,Mammals,1837.75,-,-,-,1
Elephantulus edwardii,Eukaryota,Animals,Mammals,3843.98,-,-,-,1
Eptesicus fuscus,Eukaryota,Animals,Mammals,2026.63,-,-,-,1
Equus caballus,Eukaryota,Animals,Mammals,2474.93,32,1,-,2
Equus przewalskii,Eukaryota,Animals,Mammals,2395.95,-,1,-,1
Erinaceus europaeus,Eukaryota,Animals,Mammals,2715.72,-,1,-,2
Felis catus,Eukaryota,Animals,Mammals,3160.29,19,1,-,2
Fukomys damarensis,Eukaryota,Animals,Mammals,2333.89,-,-,-,1
Galeopterus variegatus,Eukaryota,Animals,Mammals,3187.66,-,1,-,1
Gorilla gorilla,Eukaryota,Animals,Mammals,3035.66,24,1,-,2
Heterocephalus glaber,Eukaryota,Animals,Mammals,2643.96,-,1,-,2
Homo sapiens,Eukaryota,Animals,Mammals,3251.72,25,1,-,13
